# time E1 E2 E3 W1 W2 W3 W4 W5 W6
236 -0.075341 -0.123 -0.047659 -0.023932 -0.1615 -0.22613 -0.21585 -0.19491 -0.0062134
237 -0.070229 -0.11628 -0.046056 -0.026556 -0.14923 -0.2055 -0.20205 -0.18407 -0.0071108
238 -0.064968 -0.11192 -0.046953 -0.028482 -0.13663 -0.18876 -0.19153 -0.17578 -0.0082392
239 -0.059182 -0.10497 -0.04579 -0.030995 -0.12918 -0.17196 -0.17849 -0.16489 -0.0077503
240 -0.055481 -0.099755 -0.044274 -0.031313 -0.1194 -0.15656 -0.16798 -0.15658 -0.0089529
241 -0.050035 -0.092929 -0.042894 -0.032495 -0.10747 -0.14017 -0.15595 -0.14665 -0.0091014
242 -0.045771 -0.087155 -0.041384 -0.032406 -0.096965 -0.12409 -0.14381 -0.13663 -0.010151
243 -0.043556 -0.081331 -0.037776 -0.030822 -0.08865 -0.10992 -0.1328 -0.12763 -0.012293
244 -0.037398 -0.072847 -0.035449 -0.032602 -0.082577 -0.095773 -0.11996 -0.11612 -0.011251
245 -0.032243 -0.06391 -0.031667 -0.032552 -0.076818 -0.080988 -0.10603 -0.10363 -0.010824
246 -0.027979 -0.053693 -0.025714 -0.032757 -0.072749 -0.066277 -0.091024 -0.090073 -0.011437
247 -0.022013 -0.041285 -0.019271 -0.031958 -0.064826 -0.049528 -0.074073 -0.074488 -0.011447
248 -0.017037 -0.03063 -0.013593 -0.031369 -0.057566 -0.03524 -0.059717 -0.061299 -0.010908
249 -0.013231 -0.024837 -0.011606 -0.026786 -0.046824 -0.022463 -0.048445 -0.051361 -0.011667
250 -0.010524 -0.016352 -0.0058272 -0.02139 -0.037068 -0.010025 -0.037336 -0.041399 -0.011358
251 -0.0087241 -0.010873 -0.0021493 -0.017308 -0.029253 -0.0028984 -0.031322 -0.035815 -0.010382
252 -0.011417 -0.010573 0.00084475 -0.010332 -0.022627 -9.8812e-05 -0.030113 -0.034943 -0.011848
253 -0.010653 -0.0056558 0.0049973 -0.004856 -0.014716 0.0078629 -0.024142 -0.029942 -0.011572
